12/04/18 00:52:12,Individual Report,2018-02-24,2018-02-24,ACC0001
12/04/18 00:52:17,Individual Performance Report,2018-02-24,2018-02-24,null
12/04/18 00:52:22,Summary Performance Report,2018-02-24,2018-02-24,null
14/04/18 12:09:53,Individual Report,2018-04-14,2018-04-14,ACC0001
14/04/18 12:10:14,Individual Report,2018-04-14,2018-04-14,ACC0002
14/04/18 12:10:14,Individual Report,2018-04-14,2018-04-14,ACC0003
14/04/18 12:10:14,Individual Report,2018-04-14,2018-04-14,ACC0004
14/04/18 12:10:14,Individual Report,2018-04-14,2018-04-14,ACC0005
14/04/18 12:10:14,Individual Report,2018-04-14,2018-04-14,ACC0006
15/04/18 00:36:49,Individual Report,2018-04-15,2018-04-15,ACC0001
15/04/18 00:36:49,Individual Report,2018-04-15,2018-04-15,ACC0002
15/04/18 00:36:49,Individual Report,2018-04-15,2018-04-15,ACC0003
15/04/18 00:36:49,Individual Report,2018-04-15,2018-04-15,ACC0004
16/04/18 01:33:29,Individual Report,2018-04-16,2018-04-16,ACC0001
16/04/18 01:33:29,Individual Report,2018-04-16,2018-04-16,ACC0002
16/04/18 01:33:29,Individual Report,2018-04-16,2018-04-16,ACC0003
16/04/18 01:33:29,Individual Report,2018-04-16,2018-04-16,ACC0004
16/04/18 19:36:33,Individual Performance Report,2018-02-24,2018-02-24,null
16/04/18 19:36:57,Individual Performance Report,2018-02-24,2018-02-24,null
16/04/18 19:52:34,Summary Performance Report,2018-02-24,2018-02-24,null
17/04/18 01:39:54,Individual Performance Report,2018-02-24,2018-02-24,null
17/04/18 15:43:23,Individual Report,2018-04-17,2018-04-17,ACC0001
17/04/18 15:43:23,Individual Report,2018-04-17,2018-04-17,ACC0002
17/04/18 15:43:23,Individual Report,2018-04-17,2018-04-17,ACC0003
17/04/18 15:43:23,Individual Report,2018-04-17,2018-04-17,ACC0004
18/04/18 16:02:43,Individual Report,2018-04-18,2018-04-18,ACC0001
18/04/18 16:02:44,Individual Report,2018-04-18,2018-04-18,ACC0002
18/04/18 16:02:44,Individual Report,2018-04-18,2018-04-18,ACC0003
18/04/18 16:02:44,Individual Report,2018-04-18,2018-04-18,ACC0004
18/04/18 16:02:44,Individual Report,2018-04-18,2018-04-18,ACC0005
18/04/18 16:02:44,Individual Report,2018-04-18,2018-04-18,ACC0006
19/04/18 00:02:11,Individual Report,2018-04-19,2018-04-19,ACC2023
19/04/18 00:02:11,Individual Report,2018-04-19,2018-04-19,ACC2525
19/04/18 09:49:00,Individual Performance Report,2018-04-18,2018-04-20,null
19/04/18 09:50:59,Summary Performance Report,2018-04-18,2018-04-20,null
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC1018
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC1090
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC2023
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC2525
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC2824
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC3503
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC3579
20/08/18 10:08:33,Individual Report,2018-08-20,2018-08-20,ACC7888
20/08/18 10:08:33,Individual Performance Report,2018-08-13,2018-08-20,null
20/08/18 10:08:33,Summary Performance Report,2018-07-20,2018-08-20,null
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC1018
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC1090
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC2023
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC2525
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC2824
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC3503
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC3579
20/09/18 10:17:08,Individual Report,2018-09-20,2018-09-20,ACC7888
20/09/18 10:17:08,Individual Performance Report,2018-09-13,2018-09-20,null
